sample_id	x	y	cell_type	niche_label
TONIC_TMA15_R10C1	770.1095890410959	610.1095890410959	segmented_cell	cancer_core
TONIC_TMA15_R10C1	944.2979797979798	853.7222222222222	segmented_cell	cancer_core
TONIC_TMA15_R10C1	209.72222222222223	927.3777777777776	segmented_cell	cancer_core
TONIC_TMA15_R10C1	699.1595744680851	325.7898936170213	segmented_cell	cancer_border
TONIC_TMA15_R10C1	1423.2250922509224	22.93357933579336	segmented_cell	cancer_core
TONIC_TMA15_R10C1	859.8377425044092	174.77072310405643	segmented_cell	cancer_core
TONIC_TMA15_R10C1	656.3224137931035	211.80172413793105	segmented_cell	cancer_core
TONIC_TMA15_R10C1	748.2033898305085	1049.0296610169491	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1359.4633431085044	1150.1950146627566	segmented_cell	cancer_core
TONIC_TMA15_R10C1	953.0247933884298	164.5082644628099	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1828.820809248555	1847.373795761079	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1077.0325203252032	1693.392953929539	segmented_cell	cancer_core
TONIC_TMA15_R10C1	799.7859078590786	534.1924119241193	segmented_cell	cancer_core
TONIC_TMA15_R10C1	158.25925925925927	923.3185185185184	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1993.118925831202	1777.6317135549873	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1601.006552006552	944.6928746928749	segmented_cell	cancer_core
TONIC_TMA15_R10C1	203.2062868369352	681.8742632612966	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1682.5539568345323	1273.611510791367	segmented_cell	cancer_core
TONIC_TMA15_R10C1	885.6006289308176	771.8647798742138	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1869.251273344652	1899.9286926994907	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1430.138047138047	436.1531986531987	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1619.1906614785992	925.408560311284	segmented_cell	cancer_core
TONIC_TMA15_R10C1	110.85714285714286	649.3960216998191	segmented_cell	cancer_core
TONIC_TMA15_R10C1	31.38081395348837	1883.9781976744189	segmented_cell	cancer_core
TONIC_TMA15_R10C1	195.346835443038	7.929113924050632	segmented_cell	cancer_border
TONIC_TMA15_R10C1	1670.6660583941605	1535.0574817518248	segmented_cell	cancer_core
TONIC_TMA15_R10C1	763.6198830409356	1298.374269005848	segmented_cell	cancer_core
TONIC_TMA15_R10C1	377.1080729166667	100.6484375	segmented_cell	cancer_core
TONIC_TMA15_R10C1	101.05369127516778	459.6832214765101	segmented_cell	cancer_core
TONIC_TMA15_R10C1	448.6318407960199	1235.9203980099503	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1268.8384955752213	1663.5973451327434	segmented_cell	cancer_core
TONIC_TMA15_R10C1	967.453531598513	1693.32156133829	segmented_cell	cancer_core
TONIC_TMA15_R10C1	294.9676549865229	1187.3733153638814	segmented_cell	cancer_core
TONIC_TMA15_R10C1	695.1546499477533	680.9331243469175	segmented_cell	cancer_core
TONIC_TMA15_R10C1	746.4470377019749	1371.7163375224416	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1747.2068062827225	1624.651832460733	segmented_cell	cancer_core
TONIC_TMA15_R10C1	147.9647577092511	597.3370044052864	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1422.6721991701245	1831.4854771784237	segmented_cell	cancer_core
TONIC_TMA15_R10C1	806.0	1612.0	segmented_cell	cancer_core
TONIC_TMA15_R10C1	107.08607594936709	947.5620253164556	segmented_cell	cancer_core
TONIC_TMA15_R10C1	661.3140495867768	485.74380165289256	segmented_cell	cancer_core
TONIC_TMA15_R10C1	100.16880341880342	1459.5299145299143	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1463.792694063927	776.6502283105023	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1428.432387312187	1397.0300500834724	segmented_cell	cancer_border
TONIC_TMA15_R10C1	166.8068181818182	567.2045454545455	segmented_cell	cancer_core
TONIC_TMA15_R10C1	773.0376811594203	656.1478260869566	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1963.4494773519164	717.0522648083623	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1900.71388101983	1957.4461756373937	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1469.005093378608	557.8590831918506	segmented_cell	cancer_core
TONIC_TMA15_R10C1	450.01826484018267	741.7671232876712	segmented_cell	cancer_border
TONIC_TMA15_R10C1	1171.168525402726	539.6418835192069	segmented_cell	cancer_border
TONIC_TMA15_R10C1	131.28333333333333	1847.6133333333328	segmented_cell	cancer_core
TONIC_TMA15_R10C1	421.3390804597701	1078.6302681992338	segmented_cell	cancer_core
TONIC_TMA15_R10C1	340.55573770491804	2033.0967213114757	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1341.8743654822335	580.5355329949239	segmented_cell	cancer_core
TONIC_TMA15_R10C1	385.2228571428572	2018.96	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1479.5543766578248	32.720159151193634	segmented_cell	cancer_core
TONIC_TMA15_R10C1	236.2140804597701	879.7586206896551	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1018.5159010600706	655.9858657243816	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1503.4763458401303	540.6362153344209	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1833.271523178808	1673.4900662251655	segmented_cell	cancer_core
TONIC_TMA15_R10C1	361.5154639175258	1514.2835051546392	segmented_cell	cancer_core
TONIC_TMA15_R10C1	598.5110294117648	1108.4944852941176	segmented_cell	cancer_core
TONIC_TMA15_R10C1	65.30232558139535	1849.953488372093	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1999.2916666666667	724.2708333333334	segmented_cell	cancer_core
TONIC_TMA15_R10C1	584.6706948640483	465.3534743202417	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1970.9384164222877	1795.5117302052786	segmented_cell	cancer_core
TONIC_TMA15_R10C1	221.14249363867685	1447.4656488549615	segmented_cell	cancer_core
TONIC_TMA15_R10C1	737.2732558139535	448.078488372093	segmented_cell	cancer_border
TONIC_TMA15_R10C1	687.9121037463977	1616.2262247838617	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1622.1516966067863	1424.7245508982037	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1988.7448165869216	1566.7288676236044	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1813.0149253731345	552.6828358208955	segmented_cell	cancer_core
TONIC_TMA15_R10C1	433.04761904761904	1113.7848324514991	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1529.02492211838	193.61059190031156	segmented_cell	cancer_core
TONIC_TMA15_R10C1	214.6845298281092	37.75227502527806	segmented_cell	cancer_border
TONIC_TMA15_R10C1	922.4052631578948	54.41578947368421	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1231.0296495956873	1338.1590296495956	segmented_cell	cancer_core
